action,actual_profit,ask,bid,date,deal,entry_time,fast_period,order,price,profit,sl,slow_period,symbol,time,tp,trend,trend_time,type,volume,closed,win
DEAL,-8.64,550435.05,550380.71,24/09/2022 01:38,2606760469,M5,8,2630838575,550435.05,982.81,501294.50000000006,34,Volatility 50 (1s) Index,1663983530.89131,648716.15,4,M30,BUY,0.01,True,False
DEAL,-0.12,1741.435,1741.318,24/09/2022 01:38,2606760495,M5,8,2630838599,1741.435,982.69,758.7479999999998,34,Volatility 25 Index,1663983530.893306,3706.809,4,M30,BUY,0.5,True,False
DEAL,0.64,8623.39,8623.35,24/09/2022 01:39,2606761275,M5,8,2630839421,8623.39,983.05,6165.172500000001,34,Volatility 10 (1s) Index,1663983580.267532,13538.654999999999,4,M30,BUY,0.2,True,False
DEAL,1.38,6546.642,6546.48,24/09/2022 01:39,2606761284,M5,8,2630839430,6546.642,983.09,4907.949333333334,34,Volatility 10 Index,1663983580.4814017,9823.604333333333,4,M30,BUY,0.3,True,False
DEAL,-1.98,550963.66,550909.32,24/09/2022 01:39,2606761279,M5,8,2630839425,550963.66,982.96,501789.81,34,Volatility 50 (1s) Index,1663983580.4814017,649259.46,4,M30,BUY,0.01,True,False
DEAL,-0.22,1741.719,1741.602,24/09/2022 01:39,2606761285,M5,8,2630839431,1741.719,983.1,758.534,34,Volatility 25 Index,1663983580.482399,3707.9269999999997,4,M30,BUY,0.5,True,False
DEAL,1.9,354060.1,354034.79,24/09/2022 01:39,2606761288,M5,8,2630839434,354060.1,983.13,304903.55,34,Volatility 25 (1s) Index,1663983580.9031422,452373.19999999995,4,M30,BUY,0.01,True,False
DEAL,1.9,215.2419,215.2134,24/09/2022 01:39,2606761294,M5,8,2630839439,215.2419,983.13,51.386733333333325,34,Volatility 50 Index,1663983581.0980217,542.9522333333333,4,M30,BUY,3.0,True,False
DEAL,3.86,26424.46,26418.27,24/09/2022 01:39,2606761301,M5,8,2630839446,26424.46,983.29,23966.2325,34,Volatility 100 Index,1663983581.100018,31340.915,4,M30,BUY,0.2,True,False
DEAL,-1.75,548436.29,548296.29,24/09/2022 01:47,2606768516,M5,8,2630846727,548436.29,996.57,50152.28999999998,34,Volatility 75 Index,1663984026.8515189,1545004.29,4,M30,BUY,0.001,True,False
DEAL,0.89,354194.69,354169.38,24/09/2022 01:47,2606768523,M5,8,2630846734,354194.69,996.57,254538.37,34,Volatility 25 (1s) Index,1663984027.0823715,553508.77,4,M30,BUY,0.005,True,False
DEAL,-0.4,1741.933,1741.816,24/09/2022 01:47,2606768531,M5,8,2630846742,1741.933,996.57,745.3649999999999,34,Volatility 25 Index,1663984027.5930595,3735.0690000000004,4,M30,BUY,0.5,True,False
DEAL,-1.48,551005.35,550951.01,24/09/2022 01:47,2606768535,M5,8,2630846746,551005.35,997.0,451305.35,34,Volatility 50 (1s) Index,1663984028.0127976,750405.35,4,M30,BUY,0.005,True,False
DEAL,-0.69,216.033,216.0045,24/09/2022 01:47,2606768536,M5,8,2630846747,216.033,997.02,49.8793,34,Volatility 50 Index,1663984028.0167952,548.3728,4,M30,BUY,3.0,True,False
DEAL,-6.82,26513.95,26507.76,24/09/2022 01:47,2606768548,M5,8,2630846760,26513.95,996.98,24021.4975,34,Volatility 100 Index,1663984028.429541,31498.855,4,M30,BUY,0.2,True,False
DEAL,1.4,6546.409,6546.247,24/09/2022 01:47,2606768541,M5,8,2630846753,6546.409,996.96,4884.674999999999,34,Volatility 10 Index,1663984028.431539,9869.61,4,M30,BUY,0.3,True,False
DEAL,0.18,8625.86,8625.82,24/09/2022 01:47,2606768545,M5,8,2630846757,8625.86,996.98,6133.407500000001,34,Volatility 10 (1s) Index,1663984028.4365351,13610.765,4,M30,BUY,0.2,True,False
DEAL,-1.02,216.1161,216.0876,24/09/2022 01:48,2606769606,M5,8,2630847807,216.1161,1003.95,48.79176666666666,34,Volatility 50 Index,1663984099.9240904,550.7647666666667,4,M30,BUY,3.0,True,False
DEAL,0.2,8625.79,8625.75,24/09/2022 01:48,2606769614,M5,8,2630847815,8625.79,1003.94,6115.895,34,Volatility 10 (1s) Index,1663984099.9290864,13645.49,4,M30,BUY,0.2,True,False
DEAL,-11.45,26543.62,26537.43,24/09/2022 01:48,2606769610,M5,8,2630847811,26543.62,1003.95,24033.754999999997,34,Volatility 100 Index,1663984099.9310865,31563.35,4,M30,BUY,0.2,True,False
DEAL,-0.13,547383.7,547243.7,24/09/2022 01:48,2606769616,M5,8,2630847817,547383.7,1003.91,45370.540000000095,34,Volatility 75 Index,1663984100.5267174,1551289.54,4,M30,BUY,0.001,True,False
DEAL,1.33,6546.83,6546.668,24/09/2022 01:48,2606769619,M5,8,2630847820,6546.83,1003.99,4873.748666666666,34,Volatility 10 Index,1663984100.5277174,9893.478666666666,4,M30,BUY,0.3,True,False
